Resource,Total Price to Control 2% in ETH,Number of Plots Needed for 2% Control,Plot IDs for Sale,Rarity Ranking (Lowest is Rarest),Total Number of Resource on All Plots,Type
Nether,302.6,217,"52382,23521,73078,86350,82205,16998,52424,10836,45495,17268,17413,74440,75860,68052,91294,73197,61571,71926,11298,83208,26386,89473,91398,99926,79639,71137,89495,26751,24456,20237,69713,28213,98839,23114,89624,65164,55873,87025,87573,63010,75600,69558,89802,90981,75772,17306,49196,20857,78396,71479,91184,87992,61435,21177,15100,1282,74851,78294,55503,24309,78330,20617,49360,74565,64360,76505,46443,16776,89414,52142,23906,83837,12399,84248,76326,11067,56908,19527,1928,96977,14012,92884,13771,79929,95453,24241,28969,83677,10933,83116,83534,59231,2593,23390,97677,80167,72205,55069,69003,58189,97293,92490,64395,82720,59143,6915,68148,48821,30539,13986,97751,6698,23293,80397,59551,92687,8105,12647,20490,18302,64260,69032,71983,68682,68733,88244,98397,58828,79191,79987,97114,74422,75351,62097,72600,74467,87604,45354,53872,45156,99427,57231,46089,92702,2335,68562,71871,16451,82845,71457,94623,79310,9629,62514,63611,11288,70111,98161,89046,98022,89723,60497,92656,7999,92414,60729,26583,98219,25996,95740,2302,54768,17481,66266,45127,82621,75566,83071,58671,4225,13540,13713,16016,98286,21558,21125,54182,58521,65118,73893,9814,17596,66785,63364,58765,61069,55077,55086,93633,48456,47365,5473,50308,71487,60186,23413,77524,67368,63425,79892,33029,81648,57243,3136,78126,1041,1775",70,11248,Root
Spikeweed,306.42,209,"50384,15624,16770,84114,58351,12026,69111,67026,74440,82157,70977,47822,83834,68052,20952,61594,26386,68552,25783,91398,45558,51192,92221,80102,78886,95391,69581,52283,86691,55981,54453,55059,12993,59996,61683,65837,61403,99159,12786,79445,24485,56784,95744,63117,15288,47107,59942,85705,90560,46141,71664,73108,79751,77709,50653,26884,49291,91984,78330,81188,87369,46061,14192,10465,46443,57407,30871,83774,79170,90540,52142,92057,12617,16390,95646,78502,58153,99535,13771,79929,28597,83861,93941,10933,71958,26208,61815,28095,1609,64938,11674,80139,96633,45670,75940,67462,52542,16821,11253,62863,87015,62905,76776,80397,60202,11055,8105,5828,75207,88703,11451,48609,14335,7601,96765,62468,88395,23733,55076,87793,87604,57267,88277,54113,50243,48896,47296,47033,79191,70875,95389,98783,84427,13814,68562,55823,94623,26761,62530,62545,69044,11071,9629,26599,67459,86349,49692,48221,27928,98311,8509,1816,62709,23608,54413,50147,72129,26583,63582,51946,92415,754,10524,50173,19369,85811,2302,91058,74100,3075,99130,19464,98300,9301,16329,73142,4944,1753,73793,66617,60898,57476,27498,76369,15750,84475,71487,87805,48916,67702,23216,23214,23213,75074,51117,46024,11256,9152,83015,22389,80496,20620,86766,68485,20616,52763,76660,65706,72204",63,11005,Root
Bonestone,315.76,210,"83409,57757,47092,85374,10653,72013,49445,45131,48728,60250,80663,24099,60760,81983,73589,71926,89473,68552,15129,51833,57482,26751,64901,59999,48742,69713,55448,22641,95391,95858,98839,99182,82083,76987,81562,18067,20857,19899,26490,70820,77638,46371,79295,78995,30259,50757,61273,72223,83755,46230,22937,57918,28481,49002,14017,79751,27108,95108,52759,25371,20617,47230,76127,94491,25034,80090,30871,89414,92054,92057,7277,84248,99006,21273,1928,95310,67774,47983,78502,86609,19620,18883,66994,63743,88692,84155,52080,80982,57527,46179,83534,10933,96173,52114,7283,66649,67524,51830,79973,10604,64395,48809,95423,95460,56225,71520,13219,45281,8127,19303,75207,24597,28212,20460,77974,94570,62468,800,77588,88233,71068,87200,62097,65884,63778,30924,94094,88333,57533,56240,76636,45207,69537,13814,18358,10614,14673,2469,52054,8526,63227,27407,98161,89046,72513,79421,62709,11954,75706,47101,98137,76245,54078,51802,88857,17675,12446,12898,19419,76222,91058,17481,57403,99130,78108,91026,98300,84865,6758,63570,82056,70830,6382,11017,72704,73793,7992,56133,9297,83374,65160,15748,80299,86250,30798,58314,5473,87805,74721,62682,69033,72981,33029,72179,11256,64854,57243,97766,58726,98624,7608,57714,59842,20620,1276,13943,72133,65256,12779,7258",69,11238,Shard
Luster,330.07,214,"50384,54760,67208,18889,55963,16858,48176,54177,82157,70977,45681,95054,72643,55731,16544,56135,78965,93369,68460,47372,88230,61520,53297,55448,95858,10270,50471,94130,92056,58071,55981,65602,94544,99712,75772,17306,84644,26490,1592,50358,99301,25348,97948,71203,15288,17292,85705,99749,87956,65836,48663,86480,60879,86281,76781,84755,22534,53172,83329,89924,20617,91740,64360,46731,69940,89414,82987,19275,60944,84532,56908,79156,19620,15579,96938,84155,48041,78656,83677,52114,75995,10282,20272,68481,1681,97293,74344,80246,95379,62905,53128,10604,67462,22524,78963,79973,56225,78376,23293,10348,9896,52569,59551,80397,19303,2495,91520,24293,20460,68682,50905,82225,19109,98884,52809,51795,91659,99427,59426,58733,31139,74898,57533,55557,83570,98408,2335,58403,90433,61851,99741,10614,49428,13163,71457,7523,19839,72403,7605,84923,67459,67370,67369,68604,56679,13787,89046,72513,98022,54483,3175,99302,49793,4205,70249,92656,86494,26583,54524,25996,1020,85811,74100,22231,19464,19969,99493,75566,6368,71929,78580,8581,90461,63570,82055,13296,60413,64787,9814,21487,62731,3414,17596,81554,83374,80489,54898,30798,96995,95017,55118,93119,62451,75671,72386,55031,23413,69782,90722,13794,45266,74952,59842,78126,8666,59841,9141,1775,51838,82574,26656,68994,61417,67614",71,11267,Shard
Psychosilk,336.65,221,"13537,75975,57215,68033,47366,67303,47867,77808,66267,21969,80559,76747,93369,18640,68460,15129,66648,88230,49344,50238,21256,22641,69581,72419,10270,20607,78556,61235,89427,59996,50471,74182,66422,63126,61857,90108,73635,99601,86320,14387,24995,79445,97948,71203,92062,90968,52694,99194,25360,46141,21875,76781,22981,22163,84936,24309,63719,47230,78330,14192,86849,25944,10465,57407,6466,25377,7277,84532,74431,21273,15266,24898,47983,7823,96950,19328,13771,3640,88870,74224,7596,83677,45940,63327,79173,48487,64169,47464,2593,77598,7283,20789,11401,57734,5795,45120,58189,69435,48988,70349,22695,10052,77680,563,75940,17613,6297,23266,66435,47140,67316,60830,11451,19763,77977,11508,88283,89863,15213,99673,88395,92492,60460,48254,52668,84179,73559,64736,93776,49592,63487,84344,65438,72813,52848,50243,86155,73225,2335,90433,79310,19837,65090,95990,1198,97176,26599,67369,80199,71458,89046,59498,46176,8509,16167,3175,14970,60497,4205,48897,93782,69024,754,7999,25702,83612,23110,91440,22328,49556,25996,8613,81852,88276,92727,67058,66266,97436,84690,14520,66235,68228,13713,65249,11341,69243,21011,99088,47365,22859,96995,86250,50604,15749,61069,95561,49557,64391,24281,72981,80180,65595,75217,23601,94745,62515,83671,59557,57714,22389,12999,6172,58694,1276,68021,83210,68994,52763,83520,23210,65706",74,11370,Root
Petrified,340.5,213,"62205,17360,86350,32991,48701,45131,48728,17268,55787,45681,78113,47822,25943,66364,22361,90270,55731,12369,78965,79155,68460,99926,89495,84049,22748,20237,98879,66963,86601,63696,49341,88481,50636,70015,73242,66667,67895,81065,13439,72583,1592,25372,17813,46371,25348,97948,14387,78995,69897,45487,15288,98618,78663,90552,25360,30810,22534,73791,78011,60207,92499,82620,83027,81882,24531,96566,56234,53072,84003,14785,45626,19275,83837,85124,52142,22630,12617,97390,21273,83065,88274,5259,24241,60117,61815,64785,26391,7283,57734,64938,61191,45120,1681,82720,73149,95379,74700,11710,71692,49216,53836,12803,82549,88703,11508,21793,71983,57427,73996,50637,88244,23733,79028,99427,47033,99313,52809,93695,65884,48254,75810,76225,77706,47402,54039,61808,63922,95990,10614,25094,46071,4063,13163,20374,22757,62545,62530,59772,67274,18406,68761,73742,69949,49692,46176,4773,1816,47373,60822,97644,92015,52457,12446,92656,25702,68165,62560,71511,6827,48003,62409,87128,95576,82621,95245,74023,8581,78580,784,69422,13540,87038,2768,45963,63276,65118,96995,86250,90876,1786,81461,99402,58765,64406,23214,96404,88984,62682,90722,73314,67368,84501,13794,46024,27638,58726,51157,6172,74895,1476,58694,57788,94942,67237,81864,26958,60198,51767,66699,51060,64884,90508,4690",66,11098,Root
Lunarian,353.32,218,"16770,10841,64845,47092,14039,10653,75241,80657,17785,83834,55008,20772,12871,26386,25783,47372,66648,79383,50238,24456,17074,22125,54475,50586,67379,77403,53491,53237,88120,62174,71220,75081,73242,57412,30239,67895,18067,76970,78238,47204,79010,50358,71203,52477,45487,63117,98071,72223,17292,23541,90871,31423,77654,46141,12797,86281,73550,74851,95108,47149,78330,82620,63719,87369,86321,46061,79932,94491,10465,64360,96566,6466,75621,59899,92054,21308,74405,13655,16390,93610,14459,79235,47361,58610,46179,71958,63327,26208,49731,91162,2189,8343,11401,64938,61191,85728,97293,45120,77511,89442,77680,56912,93387,53128,59249,54902,15926,23266,97151,5734,18446,95244,79928,55392,95513,88244,95945,76003,97114,64736,58440,58178,62812,45207,99350,86971,87591,49908,84427,52480,47402,52668,56925,7006,72490,93454,69044,2668,67274,19839,68622,53794,50038,99302,4205,79045,28406,92414,98219,65001,63582,754,78262,71511,68973,11509,48307,57403,61618,30190,71929,69749,95245,87038,71163,27537,19525,6382,69243,92038,3947,17595,17596,90876,96016,81461,99874,18862,12445,68109,15749,70307,20825,27498,1786,55084,55086,57476,58765,60898,84475,8177,50199,23214,99369,55031,65245,23413,67368,73314,81643,90722,46024,98624,97766,1041,8666,74137,1476,46382,21223,67237,5647,9824,8297,97371,88468,7637",64,11044,Root
Lumileaf,367.96,220,"68827,97909,17360,32309,57757,68033,65795,58351,48718,10653,33062,68238,19052,86532,63380,57115,21969,55457,65569,20952,16544,51299,86001,30055,54475,52251,55150,66907,22641,17304,67379,77403,83221,87218,54781,99321,99398,90981,61683,63199,93532,86031,25348,14387,91184,46742,23541,32320,21177,15100,14017,71393,73791,94611,60207,54839,94491,62877,16776,30871,23906,59840,7277,75336,92057,12399,77077,59107,72079,15579,92361,75793,79929,53919,68262,61440,10933,63327,49731,92108,14948,5101,86878,27685,11401,13892,89706,69003,85728,11674,19529,94543,46513,50255,95121,95532,22695,79280,98465,68148,15926,51955,85110,66435,47769,65833,47947,24597,52131,46663,19798,16589,1455,64260,98913,88955,91541,86938,87569,87826,69739,65885,59136,70386,87793,96180,52848,94783,47969,46089,46186,98408,2335,63922,5803,20374,10888,18358,59772,14725,21272,83313,11071,76423,84923,81434,83869,19793,98311,16167,60497,97644,48897,12898,70249,28406,45903,69024,72129,26535,4479,9542,91856,51825,62341,92372,84690,76833,83071,84849,5586,91026,93714,25945,23106,20085,60720,3947,17595,48803,58765,54898,55077,81461,62384,66617,5944,87805,72386,55031,65245,77524,83671,91655,54162,96436,58511,6172,357,9141,16094,47904,82574,3728,20575,15269,83520,9694,86589,61385,70164,6483,76995,66699,89174,96958,11077,80104,1403,48790",73,11350,Root
Brimstone,378.05,217,"83409,65877,54514,15624,75975,16941,68043,67026,21969,73589,52413,58479,51299,46907,92221,28016,48742,22125,86601,22641,48170,71236,65602,54453,81562,54781,81872,63538,56545,63600,63015,61847,85168,69050,46794,67895,47204,50800,93925,72844,86320,64782,75302,91924,92062,73090,71479,61273,96050,90871,26255,52672,16284,10800,97115,53172,20506,97998,24531,66943,80311,98521,84003,57407,25377,14785,82987,59899,92057,85124,90540,21308,1928,19620,97106,89957,47983,63743,88274,58610,5259,96173,64938,69435,4012,97293,11710,19717,62268,64903,95379,95460,97151,92687,71520,13219,47947,77951,19303,82549,77977,64260,72472,91541,11219,68733,95945,58020,76818,69575,88288,98783,52093,49054,17612,4417,7006,24857,63870,23296,85214,22757,81919,17384,83313,60993,82879,80949,98728,62709,16167,27990,17675,54078,78262,50173,10524,80600,51329,93782,22328,65001,21371,73310,88276,93042,48307,55030,95576,23830,6368,84865,5586,98300,59484,90461,5959,25945,19525,65249,81788,9365,76316,58521,60720,3414,61069,20825,48456,55077,15750,11872,6918,45632,59171,68109,67832,22859,66617,5473,50308,60186,67702,74797,22063,16969,64391,24281,75008,79892,33029,23601,6890,73488,72936,62515,93894,97766,45266,83015,78126,96436,8666,89523,21499,94546,1476,51838,6117,48305,57788,21223,73003,52763,72133,83520,9694",67,11147,Shard
Kinsoul,392.57,210,"62113,53554,21390,72013,15191,91477,46854,19617,95054,93939,60760,66364,61571,80559,78325,89473,97125,18640,20237,72453,48170,63126,89427,66422,73967,85892,46794,50800,17305,82122,46371,78995,61803,98618,63117,92701,90552,22937,25360,87956,49002,14017,81188,82620,52630,25944,84003,98521,85124,77595,12399,6584,19527,47118,86609,14592,95646,78502,75793,56996,76996,9286,2949,17626,22770,79173,52114,14576,20789,89706,20272,80139,52542,99062,95532,11253,14052,57116,6915,68240,10348,9896,20490,10685,24597,47220,91520,77978,11508,21793,7601,73996,15213,65952,8898,89038,66175,95691,52668,84344,87569,77578,47408,76636,46268,4417,21814,53344,55823,18772,19521,14725,71410,49428,52054,82805,21217,72403,66885,7605,68622,67370,60993,13787,67147,14576,59498,54483,75706,98311,98137,54413,27990,50147,14970,97644,75489,51329,55121,10524,98219,60729,74459,578,21371,8148,2302,62409,99130,99493,9301,97436,6368,76833,93634,98442,23106,21125,2245,7577,69243,64787,56133,21487,89082,95017,11872,15750,9387,5576,62451,60186,23216,22063,80180,77809,82444,69033,51117,6890,69703,93894,22906,97676,92478,357,75367,86766,59841,3728,68485,52763,13943,20575,23210,3265,26958,61385,87606,83120,65455,96958,51060,16822,89672,560,89174,28711,28710,71142",62,10998,Shard
