Resource,Total Price to Control 1% in ETH,Number of Plots Needed for 1% Control,Plot IDs for Sale,Rarity Ranking (Lowest is Rarest),Total Number of Resource on All Plots,Type
Runa,70.97,106,"73977,99591,83299,52382,97909,67208,65795,48718,62806,33062,25103,55787,95859,95117,69939,25943,22816,81983,75860,11202,93939,65569,20952,71926,98598,89473,91398,45558,57482,50238,69268,66963,69581,76351,70015,70073,95656,59401,93425,74099,77239,81562,53491,61235,81183,17306,47204,1592,17813,62484,71203,93547,99509,76013,15795,90560,86542,48776,86480,76781,81941,27108,886,86914,90991,46731,53072,90540,84532,95427,13655,78502,47361,58610,24241,22954,64652,49731,90235,82352,75995,88585,50656,88101,55069,21972,27589,94135,22524,56912,54902,50255,53128,62905,67108,11710,10052,77680,49216,5247,81179,71520,27660,61940,47140,20490",65,11086,Shard
Spikeweed,71.45,106,"50384,15624,16770,84114,58351,12026,69111,67026,74440,82157,70977,47822,83834,68052,20952,61594,26386,68552,25783,91398,45558,51192,92221,80102,78886,95391,69581,52283,86691,55981,54453,55059,12993,59996,61683,65837,61403,99159,12786,79445,24485,56784,95744,63117,15288,47107,59942,85705,90560,46141,71664,73108,79751,77709,50653,26884,49291,91984,78330,81188,87369,46061,14192,10465,46443,57407,30871,83774,79170,90540,52142,92057,12617,16390,95646,78502,58153,99535,13771,79929,28597,83861,93941,10933,71958,26208,61815,28095,1609,64938,11674,80139,96633,45670,75940,67462,52542,16821,11253,62863,87015,62905,76776,80397,60202,11055",63,11005,Root
Nether,72.03,110,"52382,23521,73078,86350,82205,16998,52424,10836,45495,17268,17413,74440,75860,68052,91294,73197,61571,71926,11298,83208,26386,89473,91398,99926,79639,71137,89495,26751,24456,20237,69713,28213,98839,23114,89624,65164,55873,87025,87573,63010,75600,69558,89802,90981,75772,17306,49196,20857,78396,71479,91184,87992,61435,21177,15100,1282,74851,78294,55503,24309,78330,20617,49360,74565,64360,76505,46443,16776,89414,52142,23906,83837,12399,84248,76326,11067,56908,19527,1928,96977,14012,92884,13771,79929,95453,24241,28969,83677,10933,83116,83534,59231,2593,23390,97677,80167,72205,55069,69003,58189,97293,92490,64395,82720,59143,6915,68148,48821,30539,13986",70,11248,Root
Lunarian,72.04,108,"16770,10841,64845,47092,14039,10653,75241,80657,17785,83834,55008,20772,12871,26386,25783,47372,66648,79383,50238,24456,17074,22125,54475,50586,67379,77403,53491,53237,88120,62174,71220,75081,73242,57412,30239,67895,18067,76970,78238,47204,79010,50358,71203,52477,45487,63117,98071,72223,17292,23541,90871,31423,77654,46141,12797,86281,73550,74851,95108,47149,78330,82620,63719,87369,86321,46061,79932,94491,10465,64360,96566,6466,75621,59899,92054,21308,74405,13655,16390,93610,14459,79235,47361,58610,46179,71958,63327,26208,49731,91162,2189,8343,11401,64938,61191,85728,97293,45120,77511,89442,77680,56912,93387,53128,59249,54902,15926,23266",64,11044,Root
Moldium,72.32,109,"62205,23521,97909,86162,97520,85374,10406,68184,10836,80657,91477,68043,17785,55439,57115,47822,77252,11202,63089,68052,12871,61571,62125,97970,15985,69837,88230,47915,21256,56859,55150,52251,65811,26964,72099,95656,82671,77239,99321,81183,61403,45711,93532,65242,61777,45487,61273,83755,70153,78663,92701,2250,75517,79751,81941,76781,25371,53172,22163,86321,46061,64101,10683,80311,16776,49888,92054,90540,22420,21308,59154,16109,18207,58717,86609,83065,19328,30140,88692,83861,2949,88870,52080,11633,5259,22954,71958,8761,61815,9716,97275,26391,45467,14576,47419,20789,11401,55069,59151,99530,19529,27589,70349,10052,62268,75940,563,68148,80350",68,11171,Shard
Petrified,72.59,107,"62205,17360,86350,32991,48701,45131,48728,17268,55787,45681,78113,47822,25943,66364,22361,90270,55731,12369,78965,79155,68460,99926,89495,84049,22748,20237,98879,66963,86601,63696,49341,88481,50636,70015,73242,66667,67895,81065,13439,72583,1592,25372,17813,46371,25348,97948,14387,78995,69897,45487,15288,98618,78663,90552,25360,30810,22534,73791,78011,60207,92499,82620,83027,81882,24531,96566,56234,53072,84003,14785,45626,19275,83837,85124,52142,22630,12617,97390,21273,83065,88274,5259,24241,60117,61815,64785,26391,7283,57734,64938,61191,45120,1681,82720,73149,95379,74700,11710,71692,49216,53836,12803,82549,88703,11508,21793,71983",66,11098,Root
Luster,75.03,107,"50384,54760,67208,18889,55963,16858,48176,54177,82157,70977,45681,95054,72643,55731,16544,56135,78965,93369,68460,47372,88230,61520,53297,55448,95858,10270,50471,94130,92056,58071,55981,65602,94544,99712,75772,17306,84644,26490,1592,50358,99301,25348,97948,71203,15288,17292,85705,99749,87956,65836,48663,86480,60879,86281,76781,84755,22534,53172,83329,89924,20617,91740,64360,46731,69940,89414,82987,19275,60944,84532,56908,79156,19620,15579,96938,84155,48041,78656,83677,52114,75995,10282,20272,68481,1681,97293,74344,80246,95379,62905,53128,10604,67462,22524,78963,79973,56225,78376,23293,10348,9896,52569,59551,80397,19303,2495,91520",71,11267,Shard
Psychosilk,76.41,110,"13537,75975,57215,68033,47366,67303,47867,77808,66267,21969,80559,76747,93369,18640,68460,15129,66648,88230,49344,50238,21256,22641,69581,72419,10270,20607,78556,61235,89427,59996,50471,74182,66422,63126,61857,90108,73635,99601,86320,14387,24995,79445,97948,71203,92062,90968,52694,99194,25360,46141,21875,76781,22981,22163,84936,24309,63719,47230,78330,14192,86849,25944,10465,57407,6466,25377,7277,84532,74431,21273,15266,24898,47983,7823,96950,19328,13771,3640,88870,74224,7596,83677,45940,63327,79173,48487,64169,47464,2593,77598,7283,20789,11401,57734,5795,45120,58189,69435,48988,70349,22695,10052,77680,563,75940,17613,6297,23266,66435,47140",74,11370,Root
Lumileaf,77.45,110,"68827,97909,17360,32309,57757,68033,65795,58351,48718,10653,33062,68238,19052,86532,63380,57115,21969,55457,65569,20952,16544,51299,86001,30055,54475,52251,55150,66907,22641,17304,67379,77403,83221,87218,54781,99321,99398,90981,61683,63199,93532,86031,25348,14387,91184,46742,23541,32320,21177,15100,14017,71393,73791,94611,60207,54839,94491,62877,16776,30871,23906,59840,7277,75336,92057,12399,77077,59107,72079,15579,92361,75793,79929,53919,68262,61440,10933,63327,49731,92108,14948,5101,86878,27685,11401,13892,89706,69003,85728,11674,19529,94543,46513,50255,95121,95532,22695,79280,98465,68148,15926,51955,85110,66435,47769,65833,47947,24597,52131,46663",73,11350,Root
Oblivion,77.91,107,"68827,71711,28220,12026,16858,45589,78074,55439,82157,70977,83834,70495,85001,59838,22361,68552,91398,68460,73597,49344,68157,90485,83216,89624,48170,82083,74099,92385,95872,63010,56545,83221,90101,61373,94064,61738,69050,64827,52238,68741,61435,90560,26255,71664,86480,21875,11166,71393,20506,84936,83329,25944,94491,25034,56234,7461,62011,11067,76326,21273,74405,16109,79156,47983,14012,18883,92884,66994,75793,84155,76996,83677,78656,60117,8761,84669,52114,8343,89587,80667,13892,7061,66649,4012,58189,5795,87424,59249,95532,48988,80350,46513,52451,46354,16821,82720,50020,56225,23293,802,2655,11055,8127,5828,12803,87691,19798",61,10911,Shard
Brimstone,78.34,108,"83409,65877,54514,15624,75975,16941,68043,67026,21969,73589,52413,58479,51299,46907,92221,28016,48742,22125,86601,22641,48170,71236,65602,54453,81562,54781,81872,63538,56545,63600,63015,61847,85168,69050,46794,67895,47204,50800,93925,72844,86320,64782,75302,91924,92062,73090,71479,61273,96050,90871,26255,52672,16284,10800,97115,53172,20506,97998,24531,66943,80311,98521,84003,57407,25377,14785,82987,59899,92057,85124,90540,21308,1928,19620,97106,89957,47983,63743,88274,58610,5259,96173,64938,69435,4012,97293,11710,19717,62268,64903,95379,95460,97151,92687,71520,13219,47947,77951,19303,82549,77977,64260,72472,91541,11219,68733,95945,58020",67,11147,Shard
Kinsoul,85.19,104,"62113,53554,21390,72013,15191,91477,46854,19617,95054,93939,60760,66364,61571,80559,78325,89473,97125,18640,20237,72453,48170,63126,89427,66422,73967,85892,46794,50800,17305,82122,46371,78995,61803,98618,63117,92701,90552,22937,25360,87956,49002,14017,81188,82620,52630,25944,84003,98521,85124,77595,12399,6584,19527,47118,86609,14592,95646,78502,75793,56996,76996,9286,2949,17626,22770,79173,52114,14576,20789,89706,20272,80139,52542,99062,95532,11253,14052,57116,6915,68240,10348,9896,20490,10685,24597,47220,91520,77978,11508,21793,7601,73996,15213,65952,8898,89038,66175,95691,52668,84344,87569,77578,47408,76636",62,10998,Shard
Whisper,91.85,110,"15624,28372,11127,18889,19028,88862,80491,16764,62599,69111,80663,95859,10773,66143,57264,91767,28016,47915,90961,62997,28213,69581,86601,59174,55448,90485,57246,70820,93532,79295,90968,98071,80028,99194,26255,73051,73549,79311,81867,14017,99795,54345,30810,81150,84755,89924,63719,97998,85375,54839,86849,98521,75798,78608,60944,5878,86609,97106,92884,75793,79929,47361,58610,53250,60117,90235,9716,14948,2593,69126,23390,93705,7061,50656,22932,51830,74344,92490,74700,53337,93387,58322,52451,76776,50020,6698,5734,46663,24597,2495,77977,88703,89863,91541,11219,78883,65885,55432,67492,86938,48806,50412,94783,47296,53761,87591,72490,63922,98822,11711",72,11289,Root
