Resource,Total Price to Control 1% in ETH,Number of Plots Needed for 1% Control,Plot IDs for Sale,Rarity Ranking (Lowest is Rarest),Total Number of Resource on All Plots,Type
Spikeweed,72.31,106,"50384,16770,84114,58351,69111,12026,67026,74440,82157,70977,47822,83834,68052,20952,61594,26386,68552,25783,91398,45558,51192,92221,80102,78886,95391,69581,52283,86691,55981,54453,59996,12993,55059,61683,65837,61403,99159,79445,24485,12786,56784,15288,59942,63117,95744,47107,85705,90560,46141,71664,73108,79751,77709,50653,26884,49291,91984,87369,78330,81188,46061,14192,10465,46443,57407,30871,83774,79170,92057,90540,52142,12617,16390,95646,58153,78502,99535,13771,79929,83861,28597,26208,93941,71958,10933,61815,28095,1609,64938,80139,11674,96633,45670,62905,62863,16821,75940,52542,87015,67462,76776,11253,60202,80397,11055,8105",63,11005,Root
Petrified,72.37,106,"62205,17360,86350,32991,48701,45131,48728,55787,17268,45681,47822,78113,25943,66364,22361,90270,55731,12369,78965,79155,68460,99926,89495,22748,84049,20237,63696,86601,66963,98879,49341,88481,73242,50636,66667,67895,81065,13439,72583,1592,25372,17813,46371,25348,14387,97948,78995,69897,45487,78663,90552,15288,98618,25360,30810,22534,78011,73791,60207,83027,82620,92499,81882,24531,96566,56234,53072,84003,14785,45626,83837,85124,22630,52142,19275,12617,97390,21273,83065,88274,5259,24241,60117,61815,64785,26391,7283,57734,64938,61191,45120,11710,73149,95379,82720,74700,71692,49216,53836,12803,82549,11508,88703,21793,71983,57427",66,11098,Root
Lunarian,72.45,108,"16770,10841,64845,47092,14039,10653,75241,80657,17785,83834,55008,20772,12871,26386,25783,47372,66648,79383,50238,24456,17074,22125,54475,50586,75081,77403,62174,57412,73242,53237,53491,67379,71220,88120,30239,67895,18067,47204,78238,76970,50358,79010,71203,72223,52477,45487,98071,63117,17292,23541,90871,77654,31423,46141,12797,73550,86281,74851,95108,87369,78330,82620,63719,47149,46061,79932,94491,96566,64360,10465,6466,75621,92054,59899,21308,74405,13655,16390,93610,14459,79235,47361,58610,46179,26208,71958,63327,91162,49731,2189,8343,11401,64938,45120,61191,85728,97293,54902,56912,77680,59249,53128,15926,93387,89442,77511,23266,97151",64,11044,Root
Nether,72.54,110,"52382,23521,73078,86350,82205,16998,52424,10836,45495,17268,17413,74440,75860,68052,91294,73197,71926,61571,11298,83208,26386,89473,91398,99926,79639,71137,89495,26751,20237,24456,69713,98839,23114,28213,89624,87025,69558,75600,63010,89802,65164,55873,90981,75772,17306,20857,49196,78396,71479,91184,87992,21177,61435,15100,1282,74851,78294,24309,78330,49360,20617,55503,74565,64360,76505,46443,16776,89414,52142,83837,12399,23906,84248,11067,56908,19527,76326,1928,96977,14012,92884,13771,79929,95453,24241,28969,83677,10933,83534,59231,83116,97677,23390,2593,80167,72205,55069,69003,58189,97293,92490,68148,82720,59143,30539,48821,64395,13986,6915,97751",70,11248,Root
Moldium,72.83,109,"62205,23521,97909,86162,97520,85374,10406,68184,10836,91477,80657,68043,17785,55439,57115,47822,77252,11202,63089,68052,12871,61571,62125,15985,97970,69837,88230,47915,21256,56859,55150,52251,65811,26964,72099,82671,95656,99321,77239,81183,61403,45711,93532,65242,83755,45487,92701,78663,70153,61273,61777,2250,75517,79751,76781,81941,25371,22163,53172,46061,64101,10683,80311,16776,49888,90540,92054,22420,21308,16109,59154,83065,86609,58717,88692,30140,19328,83861,2949,88870,52080,11633,5259,22954,71958,8761,61815,9716,26391,97275,14576,45467,47419,20789,11401,55069,59151,99530,27589,19529,65432,80350,62268,68148,563,75940,77511,70349,10052",68,11171,Shard
Runa,73.54,107,"73977,99591,83299,52382,97909,67208,65795,48718,62806,33062,25103,55787,69939,95117,95859,25943,75860,81983,93939,22816,11202,65569,20952,71926,98598,89473,91398,45558,57482,50238,69268,66963,69581,76351,77239,53491,70073,74099,81562,93425,61235,95656,81183,17306,47204,1592,17813,62484,71203,93547,99509,76013,15795,90560,86542,48776,86480,81941,76781,27108,886,86914,90991,46731,53072,90540,84532,13655,95427,78502,47361,58610,24241,64652,22954,49731,82352,90235,75995,88585,50656,88101,55069,27589,21972,94135,56912,67108,11710,10052,50255,22524,62905,54902,53128,77680,49216,5247,81179,71520,27660,61940,47140,20490,75207,2974,77796",65,11086,Shard
Luster,75.29,107,"50384,54760,67208,18889,55963,16858,48176,54177,82157,70977,45681,95054,72643,55731,16544,56135,78965,93369,47372,68460,88230,61520,53297,55448,95858,10270,50471,94130,92056,58071,55981,65602,94544,99712,75772,17306,84644,26490,1592,50358,99301,25348,97948,71203,17292,15288,85705,99749,87956,65836,48663,86480,60879,86281,76781,84755,22534,53172,83329,20617,89924,91740,64360,46731,69940,89414,82987,19275,60944,84532,56908,79156,19620,15579,96938,84155,48041,83677,78656,75995,52114,20272,10282,68481,74344,97293,80246,95379,62905,10604,53128,78963,22524,79973,67462,56225,78376,10348,23293,9896,80397,52569,59551,19303,2495,24293,91520",71,11267,Shard
Psychosilk,77.58,110,"13537,75975,57215,68033,47366,67303,47867,77808,66267,21969,80559,76747,93369,15129,68460,18640,66648,88230,49344,50238,21256,72419,69581,22641,10270,20607,50471,66422,59996,63126,89427,61857,61235,78556,74182,90108,99601,73635,79445,97948,14387,24995,71203,90968,92062,52694,25360,46141,21875,76781,22981,22163,84936,47230,24309,63719,78330,14192,25944,10465,86849,57407,6466,25377,7277,84532,74431,21273,15266,47983,24898,7823,96950,19328,13771,3640,88870,74224,7596,83677,47464,45940,63327,64169,79173,48487,2593,77598,7283,11401,20789,57734,69435,5795,45120,58189,70349,48988,77680,563,75940,22695,10052,17613,6297,23266,66435,47140,67316,60830",74,11370,Root
Lumileaf,78.12,110,"68827,17360,97909,32309,57757,68033,65795,58351,10653,48718,33062,68238,19052,86532,63380,57115,21969,55457,65569,20952,16544,51299,86001,30055,52251,66907,54475,55150,22641,17304,54781,99321,99398,87218,77403,67379,90981,61683,63199,86031,93532,25348,14387,91184,46742,32320,23541,21177,15100,14017,71393,94611,73791,60207,54839,94491,62877,16776,30871,59840,12399,23906,75336,92057,7277,77077,59107,72079,15579,92361,75793,79929,53919,68262,92108,49731,63327,61440,10933,14948,5101,86878,13892,89706,27685,11401,69003,85728,19529,11674,46513,50255,15926,79280,94543,98465,68148,95121,95532,22695,51955,85110,66435,65833,47769,47947,52131,24597,19798,46663",73,11350,Root
Oblivion,78.59,107,"68827,28220,71711,12026,78074,16858,45589,55439,82157,70977,83834,85001,70495,59838,22361,68552,91398,68460,73597,49344,68157,90485,83216,89624,48170,82083,90101,61373,61738,63010,74099,92385,95872,56545,94064,69050,64827,52238,68741,61435,90560,26255,21875,11166,86480,71664,71393,20506,84936,83329,25944,94491,25034,56234,7461,62011,11067,76326,21273,74405,16109,79156,47983,14012,18883,92884,66994,75793,84155,76996,83677,78656,60117,8761,84669,52114,8343,89587,80667,66649,7061,13892,5795,4012,58189,87424,95532,59249,46354,82720,46513,52451,16821,80350,48988,50020,56225,23293,802,2655,11055,8127,5828,12803,87691,19798,2974",61,10911,Shard
Brimstone,81.29,108,"83409,65877,54514,75975,16941,68043,67026,21969,73589,52413,58479,51299,46907,92221,28016,48742,86601,22641,22125,48170,56545,85168,54781,81562,81872,71236,54453,61847,65602,63015,63600,69050,46794,67895,47204,50800,93925,72844,64782,75302,91924,92062,73090,71479,61273,96050,90871,26255,52672,16284,10800,97115,53172,20506,97998,66943,24531,80311,57407,84003,98521,25377,14785,82987,59899,85124,90540,92057,21308,1928,47983,19620,89957,97106,63743,88274,5259,58610,96173,64938,97293,4012,69435,64903,95379,19717,11710,62268,95460,13219,92687,71520,97151,47947,77951,19303,82549,64260,77977,72472,91541,11219,68733,95945,88288,69575,58020,76818",67,11147,Shard
Kinsoul,86.47,104,"53554,21390,15191,72013,91477,46854,19617,95054,60760,93939,66364,80559,61571,78325,89473,97125,18640,20237,72453,48170,63126,85892,66422,89427,73967,46794,50800,17305,82122,46371,61803,78995,92701,98618,90552,63117,22937,25360,87956,49002,14017,82620,81188,52630,25944,98521,84003,77595,12399,85124,6584,19527,47118,86609,14592,95646,78502,75793,9286,2949,76996,56996,22770,17626,79173,52114,14576,89706,20272,20789,80139,95532,52542,68240,57116,11253,6915,14052,99062,10348,9896,20490,10685,24597,47220,11508,77978,21793,91520,7601,73996,15213,65952,8898,52668,95691,46268,76636,77578,66175,89038,4417,71410,53344",62,10998,Shard
Whisper,95.05,110,"28372,11127,18889,19028,88862,80491,16764,62599,69111,80663,95859,10773,57264,66143,91767,28016,47915,90961,28213,69581,59174,55448,86601,90485,57246,70820,93532,79295,90968,98071,80028,26255,73051,14017,99795,81867,79311,73549,30810,54345,81150,84755,89924,63719,97998,85375,54839,86849,98521,75798,78608,60944,5878,97106,86609,92884,75793,79929,47361,58610,53250,60117,90235,9716,14948,23390,2593,69126,93705,50656,7061,22932,74344,51830,92490,76776,52451,74700,58322,53337,93387,50020,6698,5734,24597,46663,2495,77977,88703,91541,89863,11219,78883,55432,67492,94783,65885,86938,48806,47296,53761,63922,72490,98822,17384,74315,59772,11711,25094,69044",72,11289,Root
